z_m,SSIM_Full_Full,SSIM_Empty_Empty,SSIM_Diff_Diff,VolumeMean_Full_Full,VolumeMean_Empty_Empty,VolumeMean_Diff_Diff
0,0.0637337364949326,0.0352851849407741,-0.0214688915798187,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.01,0.0284743620811037,0.0739082914293997,0.0225875835965752,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.02,0.0232382444436388,0.0660780946268665,0.0253587823111573,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.03,0.0520388780744241,0.0863091954419195,0.0139865693850844,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.04,0.00912817336238038,0.0716010326091036,-0.00579015927490125,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.05,0.0169271040567028,0.0629462861783979,-0.0512845569227939,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.06,0.0207569949976535,0.0528828841273376,-0.0285093029418269,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.07,0.0411166749705477,0.120306848510838,-0.0443613839170398,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.08,0.0131631063256638,0.039788430957533,-0.0496880833429037,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.09,0.02032063576228,0.0269121702759335,-0.0126100306610227,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.1,0.0335289864526103,0.0620811862544836,-0.0473222879268069,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.11,0.0467002613962024,0.0674538829674636,-0.0341553467334571,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.12,-0.0120728340866341,0.0571911668010836,-0.0389431030906461,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.13,-0.012517287076965,0.0382287594888117,-0.0251869828878955,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.14,0.0233700421777226,0.0830308079580314,-0.0051213622653847,0.0233238774943917,0.0631872600255108,-0.0183505432936875
0.15,0.00527496047800388,0.0669919378401951,0.00889986355268053,0.0233238774943917,0.0631872600255108,-0.0183505432936875
